Level,Date and Time,Source,Event ID,Task Category
Information,13.3.2016 г. 17:58:49 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 14:59:51 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.3.2016 г. 14:52:03 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 14:50:19 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 14:43:28 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 14:40:14 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 14:37:32 ч.,EventLog,6005,None,The Event log service was started.
Information,13.3.2016 г. 00:12:59 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.3.2016 г. 22:15:20 ч.,EventLog,6005,None,The Event log service was started.
Information,11.3.2016 г. 00:52:52 ч.,EventLog,6005,None,The Event log service was started.
Information,11.3.2016 г. 00:51:54 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.3.2016 г. 23:56:17 ч.,EventLog,6005,None,The Event log service was started.
Information,10.3.2016 г. 22:12:20 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.3.2016 г. 22:09:08 ч.,EventLog,6005,None,The Event log service was started.
Information,10.3.2016 г. 22:08:21 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.3.2016 г. 21:58:24 ч.,EventLog,6005,None,The Event log service was started.
Information,10.3.2016 г. 21:56:48 ч.,EventLog,6005,None,The Event log service was started.
Information,10.3.2016 г. 01:43:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.3.2016 г. 01:03:27 ч.,EventLog,6005,None,The Event log service was started.
Information,9.3.2016 г. 23:00:35 ч.,EventLog,6005,None,The Event log service was started.
Information,9.3.2016 г. 22:53:18 ч.,EventLog,6005,None,The Event log service was started.
Information,9.3.2016 г. 15:39:39 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.3.2016 г. 15:35:29 ч.,EventLog,6005,None,The Event log service was started.
Information,9.3.2016 г. 10:30:48 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.3.2016 г. 10:26:59 ч.,EventLog,6005,None,The Event log service was started.
Information,9.3.2016 г. 01:10:29 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.3.2016 г. 00:27:20 ч.,EventLog,6005,None,The Event log service was started.
Information,8.3.2016 г. 10:46:16 ч.,EventLog,6006,None,The Event log service was stopped.
Information,8.3.2016 г. 08:52:34 ч.,EventLog,6005,None,The Event log service was started.
Information,7.3.2016 г. 23:50:38 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.3.2016 г. 23:05:21 ч.,EventLog,6005,None,The Event log service was started.
Information,7.3.2016 г. 10:16:09 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.3.2016 г. 10:07:43 ч.,EventLog,6005,None,The Event log service was started.
Information,7.3.2016 г. 09:26:19 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.3.2016 г. 08:57:15 ч.,EventLog,6005,None,The Event log service was started.
Information,7.3.2016 г. 02:19:13 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.3.2016 г. 01:01:52 ч.,EventLog,6005,None,The Event log service was started.
Information,7.3.2016 г. 00:42:32 ч.,EventLog,6005,None,The Event log service was started.
Information,6.3.2016 г. 13:01:24 ч.,EventLog,6006,None,The Event log service was stopped.
Information,6.3.2016 г. 11:29:14 ч.,EventLog,6005,None,The Event log service was started.
Information,6.3.2016 г. 09:15:40 ч.,EventLog,6005,None,The Event log service was started.
Information,6.3.2016 г. 03:03:10 ч.,EventLog,6006,None,The Event log service was stopped.
Information,6.3.2016 г. 01:36:49 ч.,EventLog,6005,None,The Event log service was started.
Information,6.3.2016 г. 01:35:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,5.3.2016 г. 23:18:23 ч.,EventLog,6005,None,The Event log service was started.
Information,5.3.2016 г. 00:28:21 ч.,EventLog,6006,None,The Event log service was stopped.
Information,4.3.2016 г. 23:45:46 ч.,EventLog,6005,None,The Event log service was started.
Information,3.3.2016 г. 00:45:07 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.3.2016 г. 22:27:32 ч.,EventLog,6005,None,The Event log service was started.
Information,2.3.2016 г. 09:34:41 ч.,EventLog,6006,None,The Event log service was stopped.
Information,2.3.2016 г. 09:28:56 ч.,EventLog,6005,None,The Event log service was started.
Information,2.3.2016 г. 00:47:26 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.3.2016 г. 23:58:43 ч.,EventLog,6005,None,The Event log service was started.
Information,1.3.2016 г. 22:06:08 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.3.2016 г. 21:42:45 ч.,EventLog,6005,None,The Event log service was started.
Information,1.3.2016 г. 21:14:58 ч.,EventLog,6005,None,The Event log service was started.
Information,1.3.2016 г. 20:43:53 ч.,EventLog,6005,None,The Event log service was started.
Information,1.3.2016 г. 20:31:01 ч.,EventLog,6005,None,The Event log service was started.
Information,27.2.2016 г. 17:28:14 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.2.2016 г. 17:19:56 ч.,EventLog,6005,None,The Event log service was started.
Information,27.2.2016 г. 11:26:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.2.2016 г. 11:17:57 ч.,EventLog,6005,None,The Event log service was started.
Information,27.2.2016 г. 02:07:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.2.2016 г. 23:56:04 ч.,EventLog,6005,None,The Event log service was started.
Information,26.2.2016 г. 01:26:22 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.2.2016 г. 00:03:31 ч.,EventLog,6005,None,The Event log service was started.
Information,25.2.2016 г. 22:40:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.2.2016 г. 22:29:38 ч.,EventLog,6005,None,The Event log service was started.
Information,25.2.2016 г. 01:28:38 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.2.2016 г. 00:00:57 ч.,EventLog,6005,None,The Event log service was started.
Information,24.2.2016 г. 15:09:36 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.2.2016 г. 14:11:00 ч.,EventLog,6005,None,The Event log service was started.
Information,24.2.2016 г. 14:04:50 ч.,EventLog,6005,None,The Event log service was started.
Information,24.2.2016 г. 02:11:58 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.2.2016 г. 17:44:36 ч.,EventLog,6005,None,The Event log service was started.
Information,23.2.2016 г. 11:37:49 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.2.2016 г. 11:13:00 ч.,EventLog,6005,None,The Event log service was started.
Information,22.2.2016 г. 23:22:42 ч.,EventLog,6005,None,The Event log service was started.
Information,22.2.2016 г. 19:37:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.2.2016 г. 19:27:04 ч.,EventLog,6005,None,The Event log service was started.
Information,22.2.2016 г. 16:04:41 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.2.2016 г. 16:00:17 ч.,EventLog,6005,None,The Event log service was started.
Information,21.2.2016 г. 02:46:09 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.2.2016 г. 01:18:45 ч.,EventLog,6005,None,The Event log service was started.
Information,20.2.2016 г. 19:40:53 ч.,EventLog,6006,None,The Event log service was stopped.
Information,20.2.2016 г. 19:32:27 ч.,EventLog,6005,None,The Event log service was started.
Information,19.2.2016 г. 01:36:02 ч.,EventLog,6006,None,The Event log service was stopped.
Information,18.2.2016 г. 23:59:08 ч.,EventLog,6005,None,The Event log service was started.
Information,18.2.2016 г. 07:16:06 ч.,EventLog,6006,None,The Event log service was stopped.
Information,18.2.2016 г. 06:22:40 ч.,EventLog,6005,None,The Event log service was started.
Information,18.2.2016 г. 00:55:01 ч.,EventLog,6006,None,The Event log service was stopped.
Information,17.2.2016 г. 23:02:02 ч.,EventLog,6005,None,The Event log service was started.
Information,17.2.2016 г. 02:17:07 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.2.2016 г. 23:26:23 ч.,EventLog,6005,None,The Event log service was started.
Information,16.2.2016 г. 02:11:43 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.2.2016 г. 00:34:06 ч.,EventLog,6005,None,The Event log service was started.
Information,16.2.2016 г. 00:30:53 ч.,EventLog,6005,None,The Event log service was started.
Information,13.2.2016 г. 12:02:23 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.2.2016 г. 11:41:37 ч.,EventLog,6005,None,The Event log service was started.
Information,13.2.2016 г. 03:08:05 ч.,EventLog,6006,None,The Event log service was stopped.
Information,13.2.2016 г. 00:55:19 ч.,EventLog,6005,None,The Event log service was started.
Information,12.2.2016 г. 23:43:28 ч.,EventLog,6005,None,The Event log service was started.
Information,12.2.2016 г. 09:47:22 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.2.2016 г. 09:43:16 ч.,EventLog,6005,None,The Event log service was started.
Information,12.2.2016 г. 00:34:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.2.2016 г. 23:05:38 ч.,EventLog,6005,None,The Event log service was started.
Information,11.2.2016 г. 09:21:50 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.2.2016 г. 09:19:18 ч.,EventLog,6005,None,The Event log service was started.
Information,11.2.2016 г. 01:22:10 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.2.2016 г. 23:29:23 ч.,EventLog,6005,None,The Event log service was started.
Information,21.1.2016 г. 00:14:58 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.1.2016 г. 00:02:28 ч.,EventLog,6005,None,The Event log service was started.
Information,10.1.2016 г. 13:57:59 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.1.2016 г. 12:29:32 ч.,EventLog,6005,None,The Event log service was started.
Information,9.1.2016 г. 19:30:03 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.1.2016 г. 11:47:08 ч.,EventLog,6005,None,The Event log service was started.
Information,1.1.2016 г. 22:49:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.1.2016 г. 18:15:54 ч.,EventLog,6005,None,The Event log service was started.
Information,15.11.2015 г. 22:57:56 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.11.2015 г. 22:55:38 ч.,EventLog,6005,None,The Event log service was started.
Information,15.11.2015 г. 13:52:04 ч.,EventLog,6006,None,The Event log service was stopped.
Information,15.11.2015 г. 13:21:51 ч.,EventLog,6005,None,The Event log service was started.
Information,15.11.2015 г. 11:47:03 ч.,EventLog,6005,None,The Event log service was started.
Information,12.11.2015 г. 23:11:51 ч.,EventLog,6006,None,The Event log service was stopped.
Information,12.11.2015 г. 22:38:12 ч.,EventLog,6005,None,The Event log service was started.
Information,11.11.2015 г. 08:03:01 ч.,EventLog,6006,None,The Event log service was stopped.
Information,11.11.2015 г. 07:30:49 ч.,EventLog,6005,None,The Event log service was started.
Information,11.11.2015 г. 00:43:42 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.11.2015 г. 23:45:51 ч.,EventLog,6005,None,The Event log service was started.
Information,10.11.2015 г. 08:05:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.11.2015 г. 07:23:22 ч.,EventLog,6005,None,The Event log service was started.
Information,1.11.2015 г. 13:41:15 ч.,EventLog,6006,None,The Event log service was stopped.
Information,1.11.2015 г. 13:28:16 ч.,EventLog,6005,None,The Event log service was started.
Information,1.11.2015 г. 13:14:50 ч.,EventLog,6005,None,The Event log service was started.
Information,1.11.2015 г. 13:07:43 ч.,EventLog,6005,None,The Event log service was started.
Information,1.11.2015 г. 13:04:35 ч.,EventLog,6005,None,The Event log service was started.
Information,1.11.2015 г. 10:33:22 ч.,EventLog,6005,None,The Event log service was started.
Information,29.10.2015 г. 01:18:32 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.10.2015 г. 23:04:03 ч.,EventLog,6005,None,The Event log service was started.
Information,28.10.2015 г. 10:28:18 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.10.2015 г. 10:25:36 ч.,EventLog,6005,None,The Event log service was started.
Information,27.10.2015 г. 10:56:34 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.10.2015 г. 09:36:44 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 14:49:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.10.2015 г. 14:47:53 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 13:46:05 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.10.2015 г. 13:33:44 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 10:14:36 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.10.2015 г. 10:10:37 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 09:45:39 ч.,EventLog,6006,None,The Event log service was stopped.
Information,26.10.2015 г. 09:28:24 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 09:18:58 ч.,EventLog,6005,None,The Event log service was started.
Information,26.10.2015 г. 02:03:31 ч.,EventLog,6006,None,The Event log service was stopped.
Information,25.10.2015 г. 23:21:47 ч.,EventLog,6005,None,The Event log service was started.
Information,24.10.2015 г. 18:54:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.10.2015 г. 13:03:06 ч.,EventLog,6005,None,The Event log service was started.
Information,24.10.2015 г. 01:07:10 ч.,EventLog,6005,None,The Event log service was started.
Information,23.10.2015 г. 19:52:28 ч.,EventLog,6006,None,The Event log service was stopped.
Information,23.10.2015 г. 19:48:16 ч.,EventLog,6005,None,The Event log service was started.
Information,23.10.2015 г. 01:48:38 ч.,EventLog,6006,None,The Event log service was stopped.
Information,22.10.2015 г. 11:25:59 ч.,EventLog,6005,None,The Event log service was started.
Information,22.10.2015 г. 01:56:39 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.10.2015 г. 23:17:49 ч.,EventLog,6005,None,The Event log service was started.
Information,21.10.2015 г. 23:13:17 ч.,EventLog,6005,None,The Event log service was started.
Information,21.10.2015 г. 02:47:55 ч.,EventLog,6006,None,The Event log service was stopped.
Information,21.10.2015 г. 00:33:27 ч.,EventLog,6005,None,The Event log service was started.
Information,21.10.2015 г. 00:29:19 ч.,EventLog,6005,None,The Event log service was started.
Information,16.10.2015 г. 15:17:42 ч.,EventLog,6006,None,The Event log service was stopped.
Information,16.10.2015 г. 15:03:01 ч.,EventLog,6005,None,The Event log service was started.
Information,16.10.2015 г. 14:42:00 ч.,EventLog,6005,None,The Event log service was started.
Information,10.10.2015 г. 02:27:38 ч.,EventLog,6005,None,The Event log service was started.
Information,10.10.2015 г. 01:53:53 ч.,EventLog,6005,None,The Event log service was started.
Information,10.10.2015 г. 01:26:22 ч.,EventLog,6005,None,The Event log service was started.
Information,10.10.2015 г. 01:12:58 ч.,EventLog,6005,None,The Event log service was started.
Information,10.10.2015 г. 01:10:13 ч.,EventLog,6005,None,The Event log service was started.
Information,9.10.2015 г. 15:02:15 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.10.2015 г. 11:59:17 ч.,EventLog,6005,None,The Event log service was started.
Information,9.10.2015 г. 03:38:04 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.10.2015 г. 02:29:33 ч.,EventLog,6005,None,The Event log service was started.
Information,8.10.2015 г. 01:41:45 ч.,EventLog,6005,None,The Event log service was started.
Information,8.10.2015 г. 01:02:07 ч.,EventLog,6005,None,The Event log service was started.
Information,7.10.2015 г. 03:41:57 ч.,EventLog,6006,None,The Event log service was stopped.
Information,7.10.2015 г. 00:40:02 ч.,EventLog,6005,None,The Event log service was started.
Information,6.10.2015 г. 03:58:55 ч.,EventLog,6006,None,The Event log service was stopped.
Information,5.10.2015 г. 22:43:33 ч.,EventLog,6005,None,The Event log service was started.
Information,5.10.2015 г. 22:21:31 ч.,EventLog,6006,None,The Event log service was stopped.
Information,5.10.2015 г. 21:27:48 ч.,EventLog,6005,None,The Event log service was started.
Information,28.9.2015 г. 01:31:14 ч.,EventLog,6006,None,The Event log service was stopped.
Information,28.9.2015 г. 00:01:53 ч.,EventLog,6005,None,The Event log service was started.
Information,27.9.2015 г. 04:30:17 ч.,EventLog,6006,None,The Event log service was stopped.
Information,27.9.2015 г. 02:10:38 ч.,EventLog,6005,None,The Event log service was started.
Information,25.9.2015 г. 00:25:52 ч.,EventLog,6006,None,The Event log service was stopped.
Information,24.9.2015 г. 23:29:17 ч.,EventLog,6005,None,The Event log service was started.
Information,24.9.2015 г. 21:02:18 ч.,EventLog,6005,None,The Event log service was started.
Information,24.9.2015 г. 20:35:35 ч.,EventLog,6005,None,The Event log service was started.
Information,24.9.2015 г. 20:27:13 ч.,EventLog,6005,None,The Event log service was started.
Information,11.9.2015 г. 01:50:27 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.9.2015 г. 20:25:45 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 20:22:45 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 20:17:38 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 18:15:45 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 18:13:23 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 14:39:11 ч.,EventLog,6006,None,The Event log service was stopped.
Information,10.9.2015 г. 12:30:52 ч.,EventLog,6005,None,The Event log service was started.
Information,10.9.2015 г. 09:59:24 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.9.2015 г. 23:54:06 ч.,EventLog,6005,None,The Event log service was started.
Information,9.9.2015 г. 19:58:56 ч.,EventLog,6005,None,The Event log service was started.
Information,9.9.2015 г. 09:40:19 ч.,EventLog,6006,None,The Event log service was stopped.
Information,9.9.2015 г. 09:25:47 ч.,EventLog,6005,None,The Event log service was started.
Information,9.9.2015 г. 02:42:46 ч.,EventLog,6006,None,The Event log service was stopped.
